Grupp A - Tabell,,,,HemmaLag,,,,BortaLag,,,HemmaScore,,BortaScore,,,,Grupp B - Tabell,,,,HemmaLag2,,,,BortaLag2,,,HemmaScore2,,BortaScore2
2,Slovakien,,3,1,1,1,,3,:,4,-1,4,B,,,,38,25.06.2016,18:00,,England,,,:,Rum‰nien,,,2,:,0
3,Rum‰nien,,3,1,0,2,,4,:,5,-1,3,A,,,,39,25.06.2016,21:00,,Spanien,,,:,Island,,,2,:,0
4,Island,,3,1,0,2,,4,:,5,-1,3,F,,,,40,26.06.2016,15:00,,Frankrike,,,:,Kroatien,,,2,:,1
5,Ukraina,,3,1,0,2,,2,:,4,-2,3,C,,,,41,26.06.2016,18:00,,Tyskland,,,:,Slovakien,,,2,:,1
6,Zverige,,3,1,0,2,,3,:,6,-3,3,E,,,,42,26.06.2016,21:00,,Portugal,,,:,Italien,,,2,:,1
,,,,,,,,,,,,,,,,,43,27.06.2016,18:00,,Belgien,,,:,Tjeckien,,,2,:,1
,,,,,,,,,,,,,,,,,44,27.06.2016,21:00,,Ryssland,,,:,÷sterrike,,,2,:,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kvartsfinal,,,,,,,,,,,,,,,,,Semifinal,,,,,,,,,,,,,
Match,Datum,Tid,,,,,Lag,,,,,MÜl,,,,,Match,Datum,Tid,,,,,Lag,,,,,MÜl,
45,30.06.2016,21:00,Schweiz,,,,:,Spanien,,,1,:,3,,,,49,06.07.2016,21:00,,Spanien,,,:,England,,,2,:,1
46,01.07.2016,21:00,England,,,,:,Portugal,,,2,:,1,,,,50,07.07.2016,21:00,,Tyskland,,,:,Frankrike,,,2,:,1
47,02.07.2016,21:00,Tyskland,,,,:,Belgien,,,2,:,1,,,,,,,,,,,,,,,,,
48,03.07.2016,21:00,Frankrike,,,,:,Ryssland,,,2,:,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Grand Finale,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Match,Datum,Tid,,,,,Lag,,,,,MÜl,
,,,,,,,,,,,,,,,,,51,10.07.2016,21:00,,Spanien,,,:,Tyskland,,,1,:,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Europameister,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Tyskland,,,,,,,,,,,,,,,,,,
